lambda_gram,embedding
transfer shall take place manner,1110010010011001011110110111011101010001011110000100011
shall take place manner data,1100101111011011101110101000101111000010001100110111111
take place manner data needed,1101110111010100010111100001000110011011111110010000101
place manner data needed perform,1010001011110000100011001101111111001000010110011111111
manner data needed perform fourier,1000010001100110111111100100001011001111111101011001101
data needed perform fourier transform,0011011111110010000101100111111110101100110111100100110
needed perform fourier transform showsup,1001000010110011111111010110011011110010011011001101001
perform fourier transform showsup single,1001111111101011001101111001001101100110100111001110101
fourier transform showsup single processor,0101100110111100100110110011010011100111010110101100100
transform showsup single processor backend,1110010011011001101001110011101011010110010000010111000
showsup single processor backend tofrom,1100110100111001110101101011001000001011100011100010100
single processor backend tofrom monitor,1100111010110101100100000101110001110001010010001100100
processor backend tofrom monitor control,1010110010000010111000111000101001000110010000110000111
backend tofrom monitor control interface,0001011100011100010100100011001000011000011101110010011
shall receive via mc state,1100101111010110101100111100000111000011000111010101010
receive via mc state count,1011010110011110000011100001100011101010101000110011100
via mc state count data,1111000001110000110001110101010100011001110000110111111
mc state count data produced,1000011000111010101010001100111000011011111110101100111
state count data produced correlator,1101010101000110011100001101111111010110011100110010111
count data produced correlator data,0011001110000110111111101011001110011001011100110111111
data produced correlator data valid,0011011111110101100111001100101110011011111111101110100
produced correlator data valid counts,1010110011100110010111001101111111110111010000110011110
correlator data valid counts quantizer,0011001011100110111111111011101000011001111010110001100
data valid counts quantizer power,0011011111111101110100001100111101011000110010100111000
valid counts quantizer power measurement,1110111010000110011110101100011001010011100010000110101
counts quantizer power measurement data,0011001111010110001100101001110001000011010100110111111
quantizer power measurement data filter,1011000110010100111000100001101010011011111101010100110
power measurement data filter parameters,1010011100010000110101001101111110101010011010011100100
measurement data filter parameters frequency,1000011010100110111111010101001101001110010001011010110
data filter parameters frequency shift,0011011111101010100110100111001000101101011011001100001
filter parameters frequency shift parameters,0101010011010011100100010110101101100110000110011100100
parameters frequency shift parameters windowing,1001110010001011010110110011000011001110010011110101100
frequency shift parameters windowing parameters,0101101011011001100001100111001001111010110010011100100
shift parameters windowing parameters observational,1100110000110011100100111101011001001110010010010100101
parameters windowing parameters observational mode,1001110010011110101100100111001001001010010110001011100
windowing parameters observational mode shall,1111010110010011100100100101001011000101110011001011110
parameters observational mode shall receive,1001110010010010100101100010111001100101111010110101100
observational mode shall receive via,1001010010110001011100110010111101011010110011110000011
mode shall receive via mc,1000101110011001011110101101011001111000001110000110001
shall receive via mc data,1100101111010110101100111100000111000011000100110111111
receive via mc data parameters,1011010110011110000011100001100010011011111110011100100
via mc data parameters specific,1111000001110000110001001101111111001110010011010001110
mc data parameters specific current,1000011000100110111111100111001001101000111000110110001
data parameters specific current evla,0011011111110011100100110100011100011011000101001110010
parameters specific current evla observational,1001110010011010001110001101100010100111001010010100101
specific current evla observational mode,1101000111000110110001010011100101001010010110001011100
current evla observational mode needed,0011011000101001110010100101001011000101110010010000101
evla observational mode needed processing,0100111001010010100101100010111001001000010110101100011
observational mode needed processing correlator,1001010010110001011100100100001011010110001100110010111
mode needed processing correlator lag,1000101110010010000101101011000110011001011101111001011
needed processing correlator lag values,1001000010110101100011001100101110111100101111101111001
processing correlator lag values metadata,1010110001100110010111011110010111110111100110001001001
correlator lag values metadata shall,0011001011101111001011111011110011000100100111001011110
lag values metadata shall receive,0111100101111101111001100010010011100101111010110101100
values metadata shall receive via,1110111100110001001001110010111101011010110011110000011
metadata shall receive via mc,1000100100111001011110101101011001111000001110000110001
shall receive via mc metadata,1100101111010110101100111100000111000011000110001001001
receive via mc metadata necessary,1011010110011110000011100001100011000100100110010000011
via mc metadata necessary format,1111000001110000110001100010010011001000001101011000011
mc metadata necessary format results,1000011000110001001001100100000110101100001111000000101
metadata necessary format results delivery,1000100100110010000011010110000111100000010100111010111
necessary format results delivery ee,1001000001101011000011110000001010011101011101000110110
format results delivery ee operational,0101100001111000000101001110101110100011011010011000001
results delivery ee operational status,1100000010100111010111010001101101001100000111010110001
includes lag frame destination addresses,0110101100101111001011010110011100011110110100000111001
lag frame destination addresses address,0111100101101011001110001111011010000011100100000111000
frame destination addresses address changes,0101100111000111101101000001110010000011100000100010100
destination addresses address changes error,0011110110100000111001000001110000010001010001001100101
addresses address changes error warning,0000011100100000111000001000101000100110010111110010110
address changes error warning shall,0000011100000100010100010011001011111001011011001011110
changes error warning shall provide,0010001010001001100101111100101101100101111010110000000
error warning shall provide error,0100110010111110010110110010111101011000000001001100101
warning shall provide error warning,1111001011011001011110101100000000100110010111110010110
shall provide error warning reports,1100101111010110000000010011001011111001011010111100010
provide error warning reports mc,1011000000001001100101111100101101011110001010000110001
error warning reports mc operating,0100110010111110010110101111000101000011000110010111111
warning reports mc operating conditions,1111001011010111100010100001100011001011111100101100011
reports mc operating conditions warrant,1011110001010000110001100101111110010110001111110010111
mc operating conditions warrant debugtest,1000011000110010111111001011000111111001011100111001000
operating conditions warrant debugtest messages,1001011111100101100011111100101110011100100010001000111
conditions warrant debugtest messages shall,0010110001111110010111001110010001000100011111001011110
warrant debugtest messages shall provide,1111001011100111001000100010001111100101111010110000000
debugtest messages shall provide several,0011100100010001000111110010111101011000000011001011101
messages shall provide several optionally,1000100011111001011110101100000001100101110110011000110
shall provide several optionally selectable,1100101111010110000000110010111011001100011011001000011
provide several optionally selectable levels,1011000000011001011101100110001101100100001101111100110
several optionally selectable levels printed,1100101110110011000110110010000110111110011010101010011
optionally selectable levels printed messages,1001100011011001000011011111001101010101001110001000111
selectable levels printed messages detailing,1100100001101111100110101010100111000100011100111101111
levels printed messages detailing operational,0111110011010101010011100010001110011110111110011000001
printed messages detailing operational parameters,1010101001110001000111001111011111001100000110011100100
messages detailing operational parameters critical,1000100011100111101111100110000011001110010000110101101
detailing operational parameters critical locations,0011110111110011000001100111001000011010110101111111101
operational parameters critical locations system,1001100000110011100100001101011010111111110111011100111
formatted output shall deliver formatted,0101100010110011010001110010111100011101010101011000101
output shall deliver formatted final,1001101000111001011110001110101010101100010101010101000
shall deliver formatted final results,1100101111000111010101010110001010101010100011000000101
deliver formatted final results ee,0011101010101011000101010101010001100000010101000110110
formatted final results ee system,0101100010101010101000110000001010100011011011011100111
shall produce data needed ee,1100101111010101100110001101111111001000010101000110110
produce data needed ee system,1010110011000110111111100100001010100011011011011100111
data needed ee system archiving,0011011111110010000101010001101101101110011100010000101
needed ee system archiving processing,1001000010101000110110110111001110001000010110101100011
output currently expected form compatible,1001101000100110110010010100000110101100001000101001011
currently expected form compatible aips,0011011001001010000011010110000100010100101100001010001
expected form compatible aips measurement,0101000001101011000010001010010110000101000110000110101
form compatible aips measurement sets,0101100001000101001011000010100011000011010111001011100
monitor control system shall acknowledge,1000110010000110000111110111001111100101111000000011101
control system shall acknowledge receipt,0011000011111011100111110010111100000001110110110101011
system shall acknowledge receipt data,1101110011111001011110000000111011011010101100110111111
