lambda_gram,embedding
transfer shall take,111001001001100101111011011101110
shall take place,110010111101101110111010100010111
take place manner,110111011101010001011110000100011
place manner data,101000101111000010001100110111111
manner data needed,100001000110011011111110010000101
data needed perform,001101111111001000010110011111111
needed perform fourier,100100001011001111111101011001101
perform fourier transform,100111111110101100110111100100110
fourier transform showsup,010110011011110010011011001101001
transform showsup single,111001001101100110100111001110101
showsup single processor,110011010011100111010110101100100
single processor backend,110011101011010110010000010111000
processor backend tofrom,101011001000001011100011100010100
backend tofrom monitor,000101110001110001010010001100100
tofrom monitor control,111000101001000110010000110000111
monitor control interface,100011001000011000011101110010011
shall receive via,110010111101011010110011110000011
receive via mc,101101011001111000001110000110001
via mc state,111100000111000011000111010101010
mc state count,100001100011101010101000110011100
state count data,110101010100011001110000110111111
count data produced,001100111000011011111110101100111
data produced correlator,001101111111010110011100110010111
produced correlator data,101011001110011001011100110111111
correlator data valid,001100101110011011111111101110100
data valid counts,001101111111110111010000110011110
valid counts quantizer,111011101000011001111010110001100
counts quantizer power,001100111101011000110010100111000
quantizer power measurement,101100011001010011100010000110101
power measurement data,101001110001000011010100110111111
measurement data filter,100001101010011011111101010100110
data filter parameters,001101111110101010011010011100100
filter parameters frequency,010101001101001110010001011010110
parameters frequency shift,100111001000101101011011001100001
frequency shift parameters,010110101101100110000110011100100
shift parameters windowing,110011000011001110010011110101100
parameters windowing parameters,100111001001111010110010011100100
windowing parameters observational,111101011001001110010010010100101
parameters observational mode,100111001001001010010110001011100
observational mode shall,100101001011000101110011001011110
mode shall receive,100010111001100101111010110101100
via mc data,111100000111000011000100110111111
mc data parameters,100001100010011011111110011100100
data parameters specific,001101111111001110010011010001110
parameters specific current,100111001001101000111000110110001
specific current evla,110100011100011011000101001110010
current evla observational,001101100010100111001010010100101
evla observational mode,010011100101001010010110001011100
observational mode needed,100101001011000101110010010000101
mode needed processing,100010111001001000010110101100011
needed processing correlator,100100001011010110001100110010111
processing correlator lag,101011000110011001011101111001011
correlator lag values,001100101110111100101111101111001
lag values metadata,011110010111110111100110001001001
values metadata shall,111011110011000100100111001011110
metadata shall receive,100010010011100101111010110101100
via mc metadata,111100000111000011000110001001001
mc metadata necessary,100001100011000100100110010000011
metadata necessary format,100010010011001000001101011000011
necessary format results,100100000110101100001111000000101
format results delivery,010110000111100000010100111010111
results delivery ee,110000001010011101011101000110110
delivery ee operational,001110101110100011011010011000001
ee operational status,010001101101001100000111010110001
includes lag frame,011010110010111100101101011001110
lag frame destination,011110010110101100111000111101101
frame destination addresses,010110011100011110110100000111001
destination addresses address,001111011010000011100100000111000
addresses address changes,000001110010000011100000100010100
address changes error,000001110000010001010001001100101
changes error warning,001000101000100110010111110010110
error warning shall,010011001011111001011011001011110
warning shall provide,111100101101100101111010110000000
shall provide error,110010111101011000000001001100101
provide error warning,101100000000100110010111110010110
error warning reports,010011001011111001011010111100010
warning reports mc,111100101101011110001010000110001
reports mc operating,101111000101000011000110010111111
mc operating conditions,100001100011001011111100101100011
operating conditions warrant,100101111110010110001111110010111
conditions warrant debugtest,001011000111111001011100111001000
warrant debugtest messages,111100101110011100100010001000111
debugtest messages shall,001110010001000100011111001011110
messages shall provide,100010001111100101111010110000000
shall provide several,110010111101011000000011001011101
provide several optionally,101100000001100101110110011000110
several optionally selectable,110010111011001100011011001000011
optionally selectable levels,100110001101100100001101111100110
selectable levels printed,110010000110111110011010101010011
levels printed messages,011111001101010101001110001000111
printed messages detailing,101010100111000100011100111101111
messages detailing operational,100010001110011110111110011000001
detailing operational parameters,001111011111001100000110011100100
operational parameters critical,100110000011001110010000110101101
parameters critical locations,100111001000011010110101111111101
critical locations system,001101011010111111110111011100111
formatted output shall,010110001011001101000111001011110
output shall deliver,100110100011100101111000111010101
shall deliver formatted,110010111100011101010101011000101
deliver formatted final,001110101010101100010101010101000
formatted final results,010110001010101010100011000000101
final results ee,010101010001100000010101000110110
results ee system,110000001010100011011011011100111
shall produce data,110010111101010110011000110111111
produce data needed,101011001100011011111110010000101
data needed ee,001101111111001000010101000110110
needed ee system,100100001010100011011011011100111
ee system archiving,010001101101101110011100010000101
system archiving processing,110111001110001000010110101100011
output currently expected,100110100010011011001001010000011
