lambda_gram,embedding
érase,1010110110011
vez,1010100111100
familia,0100100000011
oso,0111011001011
vivir,1010101101000
lindo,0110001011110
casita,0001110100000
bosque,0001011000110
papá,0111100001101
grande,0100111110000
mamá,0110011101110
ós,1010110111101
tamaño,1001110111001
mediano,0110100111110
osito,0111011001010
pequeño,0111110000110
mañana,0110100110110
servir,1001011100111
deliciós,0010111110101
avén,0001001000011
desayuno,0011000100110
demasiado,0010111111000
caliente,0001100101101
comer,0010001100110
tres,1010010010100
decidir,0010111001001
ir,0101110100100
pasear,0111100101111
mientras,0110101111100
enfriar,0011110110001
cabo,0001100010110
minuto,0110110001100
niña,0111000111001
llamado,0110001100110
ricito,1001000110000
oro,0111011000011
llegar,0110001110001
casa,0001110010111
tocar,1010000110101
puerta,1000011100110
encontrar,0011110010101
respuesta,1001000001110
abrir,0000000101010
entró,0011111111001
permiso,0111110100011
cocina,0010000100110
més,0111000000001
taza,1001111001011
gran,0100111101111
apetito,0000101101010
ver,1010100100001
primero,1000010001100
probar,1000010011110
avena,0001000111001
frío,0100110000011
gustar,0101000110011
luego,0110010101100
tampoco,1001110111010
último,1010110111110
perfecto,0111110011000
tanto,1001110111100
todo,1010000111001
dejar,0010111100001
poquito,1000000111111
después,0011001110100
sala,1001010001000
silla,1001100000110
sentar,1001011010101
alto,0000100010000
ancho,0000100110110
entonces,0011111100011
frágil,0100110000001
romper,1001001010011
bajo,0001001100010
peso,0111110111110
pueblito,1000011100001
lejano,0110000110100
cerdito,0001111010110
junto,0101111110001
feliz,0100100011111
día,0011100110110
decir,0010111001010
hijito,0101010100110
tú,1010010111101
crecido,0010101001000
tiempo,1010000001101
adulto,0000010010001
vivar,1010101100101
mismo,0110110011100
él,1010110110000
mundo,0110111101001
fácil,0100110011001
deber,0010110111101
aprender,0000110000001
trabajar,1010001100101
lograr,0110010011110
sueño,1001101110011
despedir,0011001100010
besito,0001010010111
mejilla,0110101000110
menor,0110101010111
perezoso,0111110010100
prestar,1000001111111
atención,0001000000111
palabra,0111011110011
construir,0010011011111
paja,0111011101110
terminar,1010000000000
temprano,1001111110000
acostar,0000001100111
descansar,0011000101010
medio,0110101000010
palo,0111011111011
quedar,1000100010010
chueco,0001111111010
querer,1000100100001
leer,0110000110000
instrucción,0101101110110
cerdita,0001111010101
mayor,0110100110001
aplicado,0000101110010
mucho,0110111011000
ladrillo,0110000001011
construcción,0010011011101
casito,0001110100001
tomar,1010000111101
importar,0101100011111
nuevo,0111001011011
hogar,0101010110011
albergar,0000011011110
temible,1001111100111
lobo,0110010010110
feroz,0100100100101
hablar,0101001001001
merodear,0110101101001
dormir,0011100001111
tranquilamente,1010001110101
través,1010010001101
ventana,1010100011001
joven,0101111010011
bello,0001010010000
princés,1000010010100
blancaniev,0001010100111
reino,1000111001000
padre,0111011100110
madrastro,0110011001001
madrastra,0110011000111
reina,1000111000101
hermoso,0101010010010
arrogante,0000111001000
orgulloso,0111010111110
pasar,0111100101100
contemplar,0010011101010
frente,0100101110010
espejo,0100001101011
mágico,0110111111000
parar,0111100010010
preguntar,1000001100010
espejito,0100001101010
quién,1000100110101
responder,1001000001011
mujer,0110111100011
satisfecho,1001010110000
pues,1000011101000
saber,1001001110110
siempre,1001011110110
verdad,1010100100100
embargo,0011101100011
año,0001001011011
belleza,0001010001111
bondad,0001010111101
blancanieves,0001010101000
hacer,0101001001100
evidente,0100010111001
buena,0001011101101
cualidad,0010101100111
superar,1001110000000
físico,0100110011101
fin,0100100111011
contestar,0010011110011
ser,1001011011110
aún,0001001011100
érar,1010110110010
molinerir,0110110110101
pobre,1000000011001
hijo,0101010100111
herencia,0101010000101
molino,0110110110110
asno,0000111100011
gato,0100110110111
reparto,1000111100101
segundo,1001010111110
este,0100010010110
lamentar,0110000010000
suerte,1001101110001
cuanto,0010101101010
cuál,0010110011110
parte,0111100100010
hermano,0101010001111
fortuna,0100101100001
sólo,1001110100110
escuchar,0100001000000
amo,0000100101110
decidido,0010111001000
ayudar,0001001001010
preocupe,1000001110000
señor,1001011101101
poder,1000000100010
útil,1010111000001
valioso,1010011100101
pensar,0111101111100
pedir,0111101011011
favor,0100100010101
regalar,1000110110101
saco,1001010000010
par,0111100001111
bota,0001011001001
andar,0000100111010
matorral,0110100101111
aunque,0001000101110
creer,0010101001010
dar,0010110110100
animal,0000101000101
astuto,0000111101111
poner,1000000110111
plan,0111111111011
marcha,0110100010110
reunir,1001000011110
zanahoria,1010110010000
boscar,0001011000101
cazar,0001110110111
conejo,0010010110011
lleno,0110001111000
dirigir,0011011001100
hacia,0101001010100
palacio,0111011110101
real,1000101101001
conseguir,0010011001110
recibir,1000101111111
rey,1001000101010
majestad,0110011011001
leal,0110000100111
servidor,1001011100110
marqués,0110100100100
carabás,0001101111001
nombre,0111001001000
ocurrir,0111001111111
ofrecer,0111010001001
regalo,1000110110111
anciano,0000100111000
carpintero,0001110001100
gepeto,0100111001010
juguet,0101111101010
madera,0110011000101
niño,0111000111101
pueblo,1000011100010
marioneta,0110100100000
pino,0111111100001
especial,0100001100010
llamar,0110001100111
pinocho,0111111100010
noche,0111001000001
hado,0101001011000
azul,0001001010101
taller,1001110110111
buen,0001011101100
hecho,0101001111101
demá,0010111111101
merez,0110101100110
desear,0011001000101
realidad,1000101101010
sonreir,1001101000101
varito,1010011110101
despertar,0011001100101
vida,1010101000011
cerrar,0001111011100
ojo,0111010010010
si,1001011110001
valiente,1010011100100
sincero,1001100010001
desinteresado,0011001011001
alguno,0000011111001
volver,1010101110101
grillo,0101000000000
pepe,0111101111111
alacena,0000011011001
hada,0101001010110
conciencia,0010010100101
guardián,0101000100010
conocimiento,0010011001010
bien,0001010100000
mal,0110011011011
siguiente,1001100000000
enviar,0100000000000
orgullo,0111010111101
escuelar,0100001000101
vender,1010100001101
abrigo,0000000101001
comprar,0010010010001
libro,0110001010011
escolar,0100000101110
mostrar,0110111010011
camino,0001101001100
distraigas,0011011101110
escuelo,0100001000110
atrás,0001000100100
reinar,1000111000111
anhelar,0000101000010
esperar,0100001110011
luz,0110010110110
agraciado,0000010101111
vanidós,1010011101101
superficial,1001110000010
sentir,1001011011000
decepcionado,0010111000100
apariencia,0000101100000
presente,1000001111011
nacimiento,0111000001010
otorgar,0111011001101
sabiduer,1001001110111
además,0000001111100
dotar,0011100010100
don,0011100001011
impartir,0101100010011
persona,0111110101011
sabiduría,1001001111000
poseer,1000001001100
consolar,0010011010111
transcurrir,1010001111001
consuelo,0010011100001
convertir,0010100010001
pronto,1000010111100
comenzar,0010001100101
cautivar,0001110110000
acto,0000001101100
noblezo,0111001000000
cierto,0010000000011
olvidé,0111010100010
mencionar,0110101010110
príncipe,1000011011001
nacer,0111000001000
mechón,0110100111010
pelo,0111101110010
cabeza,0001100010100
razón,1000101100101
riquete,1001000111010
copetir,0010100011101
riquetir,1001000111011
apellido,0000101100101
siete,1001011111001
u,1010010111110
ocho,0111001110111
país,0111101010100
vecino,1010011111101
dos,0011100010010
hija,0101010100100
hermosura,0101010010011
comparación,0010001110111
asistido,0000111100001
advertir,0000010010101
inteligente,0101101111110
aquel,0000110010110
afligeír,0000010011100
instante,0101101110101
pena,0111101111000
resultar,1001000010011
carecer,0001101111111
horripilante,0101011001100
ogro,0111010001011
crear,0010101000101
bueno,0001011101110
feo,0100100100010
perverso,0111110110000
maldad,0110011011111
volar,1010101110010
espacio,0100001011001
caer,0001100100001
quebrar,1000100001111
millón,0110110000010
fragmento,0100101101010
cristal,0010101010110
tierra,1010000010011
alcanzar,0000011100101
alguien,0000011111000
alojar,0000100001011
corazón,0010100100001
hielo,0101010011110
ciudad,0010000010110
amistad,0000100101100
gerda,0100111001011
kai,0101111111100
construido,0010011011110
habitación,0101001000001
uno,1010011000100
enorme,0011111001010
jardinera,0101110111101
rosal,1001001011011
delicioso,0010111110100
vegetal,1010011111110
sentado,1001011010100
tallo,1001110111000
crecer,0010101000111
repleto,1000111101011
rosa,1001001011001
deleitar,0010111101100
negado,0111000100101
invierno,0101110011011
opacada,0111010100110
nieve,0111000110011
rosas,1001001011100
congelado,0010010111111
abuelar,0000000101110
contar,0010011101000
historia,0101010101101
copo,0010100011111
enjambre,0011111000010
abeja,0000000011101
blanco,0001010101001
abuela,0000000101101
acerca,0000001010010
mirar,0110110010011
congelar,0010011000000
formar,0100101011010
flores,0100101010001
hermanastra,0101010001011
obligar,0111001101001
trabajo,1010001100110
cocinar,0010000101000
limpiar,0110001011100
lavarl,0110000100110
ropa,1001001010111
cansado,0001101011110
dormido,0011100001110
cerca,0001111010010
chimenea,0001111101111
levantar,0110000111110
cara,0001101111000
sucio,1001101101011
ceniza,0001111001100
reír,1001000101101
cenicienta,0001111001000
invitación,0101110011101
baile,0001001011111
celebrar,0001110111111
cumpleaño,0010110010001
invitado,0101110011111
cenicientar,0001111001001
fiesta,0100100110010
madrastrar,0110011001000
hermanastras,0101010001100
irás,0101110101110
quedarás,1000100010100
preparar,1000001110011
cena,0001111000110
regreser,1000111000011
salir,1001010010100
burlar,0001011111000
correr,0010100101001
jardín,0101111000000
banco,0001001101010
llorar,0110010001001
repente,1000111100111
aparecer,0000101011110
madrín,0110011001111
llor,0110010000111
ceniciento,0001111001010
agitar,0000010101010
varita,1010011110011
transformar,1010001111110
calabazo,0001100100110
coche,0010000100100
ratón,1000101011111
campo,0001101010110
caballos,0001100001101
perro,0111110101000
viejo,1010101001010
cochero,0010000100101
remoto,1000111010111
emperador,0011101110000
cuyo,0010110011101
único,1010111000000
interés,0101110001010
vestir,1010100110111
modo,0110110100111
vanidad,1010011101011
cambiar,0001100111111
traje,1010001110001
varios,1010011110010
admirar,0000010000101
cualquiera,0010101101000
estafador,0100010001011
acercar,0000001010011
manifestar,0110011111100
excelente,0100011000110
sastre,1001010101111
coser,0010100111001
magnífico,0110011010111
ligero,0110001011010
fino,0100101000000
