lambda_gram,embedding
the transfer shall take place,001011011000001000110101010011000000010011000111010111001110
transfer shall take place in,001000110101010011000000010011000111010111001110000011000010
shall take place in such,010011000000010011000111010111001110000011000010010100001100
take place in such a,010011000111010111001110000011000010010100001100000000100000
place in such a manner,010111001110000011000010010100001100000000100000001101110111
in such a manner that,000011000010010100001100000000100000001101110111011111001101
such a manner that all,010100001100000000100000001101110111011111001101011111010000
a manner that all data,000000100000001101110111011111001101011111010000001100010101
manner that all data needed,001101110111011111001101011111010000001100010101000101101110
that all data needed to,011111001101011111010000001100010101000101101110010011010101
all data needed to perform,011111010000001100010101000101101110010011010101000011111100
data needed to perform any,001100010101000101101110010011010101000011111100011011011111
needed to perform any fourier,000101101110010011010101000011111100011011011111010111100111
to perform any fourier transform,010011010101000011111100011011011111010111100111010010010011
perform any fourier transform showsup,000011111100011011011111010111100111010010010011000001111010
any fourier transform showsup on,011011011111010111100111010010010011000001111010011010001011
fourier transform showsup on a,010111100111010010010011000001111010011010001011000000100000
transform showsup on a single,010010010011000001111010011010001011000000100000001011100100
showsup on a single processor,000001111010011010001011000000100000001011100100000101111011
on a single processor backend,011010001011000000100000001011100100000101111011001010011001
a single processor backend tofrom,000000100000001011100100000101111011001010011001001011100010
single processor backend tofrom monitor,001011100100000101111011001010011001001011100010011100010000
processor backend tofrom monitor and,000101111011001010011001001011100010011100010000011001101010
backend tofrom monitor and control,001010011001001011100010011100010000011001101010011110011000
tofrom monitor and control interface,001011100010011100010000011001101010011110011000010011100000
the be shall receive via,001011011000000000000111010011000000000100100100000111100111
be shall receive via mc,000000000111010011000000000100100100000111100111010101110111
shall receive via mc state,010011000000000100100100000111100111010101110111011101001111
receive via mc state count,000100100100000111100111010101110111011101001111010011011000
via mc state count data,000111100111010101110111011101001111010011011000001100010101
mc state count data produced,010101110111011101001111010011011000001100010101010100111100
state count data produced by,011101001111010011011000001100010101010100111100001000011010
count data produced by the,010011011000001100010101010100111100001000011010001011011000
data produced by the correlator,001100010101010100111100001000011010001011011000011000100110
produced by the correlator data,010100111100001000011010001011011000011000100110001100010101
by the correlator data valid,001000011010001011011000011000100110001100010101011010000010
the correlator data valid counts,001011011000011000100110001100010101011010000010011010000000
correlator data valid counts quantizer,011000100110001100010101011010000010011010000000000100001100
data valid counts quantizer power,001100010101011010000010011010000000000100001100010100100001
valid counts quantizer power measurement,011010000010011010000000000100001100010100100001000000011110
counts quantizer power measurement data,011010000000000100001100010100100001000000011110001100010101
quantizer power measurement data filter,000100001100010100100001000000011110001100010101011100011000
power measurement data filter parameters,010100100001000000011110001100010101011100011000000000110001
measurement data filter parameters frequency,000000011110001100010101011100011000000000110001011011111000
data filter parameters frequency shift,001100010101011100011000000000110001011011111000000101000011
filter parameters frequency shift parameters,011100011000000000110001011011111000000101000011000000110001
parameters frequency shift parameters windowing,000000110001011011111000000101000011000000110001011111011111
frequency shift parameters windowing parameters,011011111000000101000011000000110001011111011111000000110001
shift parameters windowing parameters observational,000101000011000000110001011111011111000000110001000010100001
parameters windowing parameters observational mode,000000110001011111011111000000110001000010100001010100011001
windowing parameters observational mode the,011111011111000000110001000010100001010100011001001011011000
parameters observational mode the be,000000110001000010100001010100011001001011011000000000000111
observational mode the be shall,000010100001010100011001001011011000000000000111010011000000
mode the be shall receive,010100011001001011011000000000000111010011000000000100100100
shall receive via mc data,010011000000000100100100000111100111010101110111001100010101
receive via mc data and,000100100100000111100111010101110111001100010101011001101010
via mc data and parameters,000111100111010101110111001100010101011001101010000000110001
mc data and parameters specific,010101110111001100010101011001101010000000110001010111000110
data and parameters specific to,001100010101011001101010000000110001010111000110010011010101
and parameters specific to the,011001101010000000110001010111000110010011010101001011011000
parameters specific to the current,000000110001010111000110010011010101001011011000011001011001
specific to the current evla,010111000110010011010101001011011000011001011001001010010000
to the current evla observational,010011010101001011011000011001011001001010010000000010100001
the current evla observational mode,001011011000011001011001001010010000000010100001010100011001
current evla observational mode needed,011001011001001010010000000010100001010100011001000101101110
evla observational mode needed for,001010010000000010100001010100011001000101101110000100111010
observational mode needed for processing,000010100001010100011001000101101110000100111010011100111010
mode needed for processing the,010100011001000101101110000100111010011100111010001011011000
needed for processing the correlator,000101101110000100111010011100111010001011011000011000100110
for processing the correlator lag,000100111010011100111010001011011000011000100110001111111010
processing the correlator lag values,011100111010001011011000011000100110001111111010010100101101
the correlator lag values metadata,001011011000011000100110001111111010010100101101010110101011
correlator lag values metadata the,011000100110001111111010010100101101010110101011001011011000
lag values metadata the be,001111111010010100101101010110101011001011011000000000000111
values metadata the be shall,010100101101010110101011001011011000000000000111010011000000
metadata the be shall receive,010110101011001011011000000000000111010011000000000100100100
shall receive via mc all,010011000000000100100100000111100111010101110111011111010000
receive via mc all metadata,000100100100000111100111010101110111011111010000010110101011
via mc all metadata necessary,000111100111010101110111011111010000010110101011010001000110
mc all metadata necessary to,010101110111011111010000010110101011010001000110010011010101
all metadata necessary to format,011111010000010110101011010001000110010011010101001000010100
metadata necessary to format be,010110101011010001000110010011010101001000010100000000000111
necessary to format be results,010001000110010011010101001000010100000000000111000111000011
to format be results for,010011010101001000010100000000000111000111000011000100111010
format be results for delivery,001000010100000000000111000111000011000100111010010110100100
be results for delivery to,000000000111000111000011000100111010010110100100010011010101
results for delivery to the,000111000011000100111010010110100100010011010101001011011000
for delivery to the ee,000100111010010110100100010011010101001011011000010010101111
