word,binary
10,0000000000000
100,0000000000001
1960,0000000000010
2,0000000000011
20,0000000000100
25,0000000000101
27,0000000000110
2875,0000000000111
3,0000000001000
30,0000000001001
40,0000000001010
5,0000000001011
50,0000000001100
500,0000000001101
52,0000000001110
6,0000000001111
7,0000000010000
8,0000000010001
857,0000000010010
87,0000000010011
abajo,0000000010100
abalanzar,0000000010101
abandonado,0000000010110
abandonar,0000000010111
abandonarar,0000000011000
abanicar,0000000011001
abanico,0000000011010
abarrotado,0000000011011
abastecer,0000000011100
abeja,0000000011101
aber,0000000011110
abierto,0000000011111
ablandacer,0000000100000
abra,0000000100001
abracadabra,0000000100010
abrasador,0000000100011
abrasar,0000000100100
abrazado,0000000100101
abrazar,0000000100110
abrazo,0000000100111
abrazó,0000000101000
abrigo,0000000101001
abrir,0000000101010
abrumar,0000000101011
absorbiero,0000000101100
abuela,0000000101101
abuelar,0000000101110
abuelet,0000000101111
abuelita,0000000110000
abuelitadijo,0000000110001
abuelitir,0000000110010
abuelito,0000000110011
abuelo,0000000110100
abultado,0000000110101
abundante,0000000110110
abundantemente,0000000110111
aburrida,0000000111000
aburrido,0000000111001
aburrimiento,0000000111010
aburrir,0000000111011
abusar,0000000111100
abuso,0000000111101
abusón,0000000111110
acaba,0000000111111
acabado,0000001000000
acabar,0000001000001
acabo,0000001000010
acalorado,0000001000011
acantilado,0000001000100
acariciar,0000001000101
acaso,0000001000110
acaudalado,0000001000111
acceder,0000001001000
acceso,0000001001001
accidentado,0000001001010
accidente,0000001001011
acción,0000001001100
acecho,0000001001101
acelerar,0000001001110
aceptar,0000001001111
acepto,0000001010000
acera,0000001010001
acerca,0000001010010
acercar,0000001010011
acercarte,0000001010100
acercársel,0000001010101
acero,0000001010110
acertar,0000001010111
acierto,0000001011000
aclamación,0000001011001
aclamar,0000001011010
acogedoro,0000001011011
acoger,0000001011100
acogido,0000001011101
acompañado,0000001011110
acompañar,0000001011111
acompañarte,0000001100000
aconsejar,0000001100001
aconsejo,0000001100010
acontecimiento,0000001100011
acordado,0000001100100
acordar,0000001100101
acostado,0000001100110
acostar,0000001100111
acostumbrado,0000001101000
acostumbrar,0000001101001
actitud,0000001101010
actividad,0000001101011
acto,0000001101100
actuar,0000001101101
actuase,0000001101110
acudido,0000001101111
acudient,0000001110000
acudir,0000001110001
acuerdo,0000001110010
acumular,0000001110011
acá,0000001110100
acércate,0000001110101
adaptar,0000001110110
adecuado,0000001110111
adelantar,0000001111000
adelante,0000001111001
adelgazado,0000001111010
adelgazar,0000001111011
además,0000001111100
adentrar,0000001111101
adentro,0000001111110
adivináis,0000001111111
adiós,0000010000000
admiración,0000010000001
admirado,0000010000010
admirador,0000010000011
admiradísimo,0000010000100
admirar,0000010000101
admitir,0000010000110
adnadnal,0000010000111
adolorido,0000010001000
adoptar,0000010001001
adorabl,0000010001010
adorable,0000010001011
adorar,0000010001100
adormilado,0000010001101
adornar,0000010001110
adrián,0000010001111
adular,0000010010000
adulto,0000010010001
adversidad,0000010010010
adversidades,0000010010011
advertido,0000010010100
advertir,0000010010101
adónde,0000010010110
afectar,0000010010111
aferrar,0000010011000
afilado,0000010011001
afilar,0000010011010
afirmar,0000010011011
afligeír,0000010011100
aflojar,0000010011101
afortunadamente,0000010011110
afortunado,0000010011111
africano,0000010100000
afroditar,0000010100001
afuera,0000010100010
afueras,0000010100011
afuero,0000010100100
agachar,0000010100101
agal,0000010100110
agarrado,0000010100111
agarrar,0000010101000
agarrándolo,0000010101001
agitar,0000010101010
agobiado,0000010101011
agolpar,0000010101100
agotado,0000010101101
agotar,0000010101110
agraciado,0000010101111
agradable,0000010110000
agradecer,0000010110001
agradecido,0000010110010
agradir,0000010110011
agrado,0000010110100
agranda,0000010110101
agregar,0000010110110
agresor,0000010110111
agreír,0000010111000
agrietado,0000010111001
agrio,0000010111010
agua,0000010111011
aguantar,0000010111100
aguante,0000010111101
aguar,0000010111110
aguardar,0000010111111
agudo,0000011000000
aguerrido,0000011000001
aguja,0000011000010
agujero,0000011000011
agujo,0000011000100
ah,0000011000101
ahogado,0000011000110
ahogar,0000011000111
ahora,0000011001000
ahoritir,0000011001001
ahorrado,0000011001010
ahorrarno,0000011001011
ahuyentar,0000011001100
ahuyento,0000011001101
ahí,0000011001110
air,0000011001111
aire,0000011010000
aires,0000011010001
airoso,0000011010010
aislado,0000011010011
ajajá,0000011010100
ajeno,0000011010101
ajetreo,0000011010110
ajá,0000011010111
ala,0000011011000
alacena,0000011011001
alar,0000011011010
alarde,0000011011011
alarmado,0000011011100
alarmante,0000011011101
albergar,0000011011110
albert,0000011011111
albertinar,0000011100000
albertín,0000011100001
alboroto,0000011100010
alcalde,0000011100011
alcance,0000011100100
alcanzar,0000011100101
alcanzarer,0000011100110
aldea,0000011100111
aldeano,0000011101000
aldeo,0000011101001
aleger,0000011101010
alegra,0000011101011
alegrar,0000011101100
alegre,0000011101101
alegremente,0000011101110
alegría,0000011101111
alejado,0000011110000
alejar,0000011110001
aleje,0000011110010
alemania,0000011110011
alergia,0000011110100
alertar,0000011110101
aleta,0000011110110
algodón,0000011110111
alguien,0000011111000
alguno,0000011111001
alicia,0000011111010
aliciar,0000011111011
aliento,0000011111100
alimentar,0000011111101
alimentir,0000011111110
alimento,0000011111111
alina,0000100000000
aliviado,0000100000001
aliviadísimo,0000100000010
allá,0000100000011
allí,0000100000100
alma,0000100000101
almacenar,0000100000110
almacén,0000100000111
almohado,0000100001000
almorzar,0000100001001
almuerzo,0000100001010
alojar,0000100001011
alrededor,0000100001100
alsaciar,0000100001101
altavoz,0000100001110
alternar,0000100001111
alto,0000100010000
altura,0000100010001
alucinado,0000100010010
alumbrar,0000100010011
alumno,0000100010100
alzar,0000100010101
alín,0000100010110
amabilidad,0000100010111
amabl,0000100011000
amable,0000100011001
amado,0000100011010
amam,0000100011011
amanecer,0000100011100
amar,0000100011101
amargo,0000100011110
amarillento,0000100011111
amarillo,0000100100000
ambición,0000100100001
ambos,0000100100010
amenacé,0000100100011
amenaza,0000100100100
amenazante,0000100100101
amenazar,0000100100110
amiga,0000100100111
amigable,0000100101000
amigo,0000100101001
amigos,0000100101010
amiguito,0000100101011
amistad,0000100101100
amistoso,0000100101101
amo,0000100101110
amontonado,0000100101111
amor,0000100110000
amuleto,0000100110001
américo,0000100110010
amígdala,0000100110011
ana,0000100110100
anansi,0000100110101
ancho,0000100110110
anciana,0000100110111
anciano,0000100111000
anda,0000100111001
andar,0000100111010
andrea,0000100111011
andreo,0000100111100
anfitrión,0000100111101
angelito,0000100111110
angry,0000100111111
angustiado,0000101000000
anhelado,0000101000001
anhelar,0000101000010
anhelo,0000101000011
anillo,0000101000100
animal,0000101000101
animales,0000101000110
animalillo,0000101000111
animalito,0000101001000
animar,0000101001001
anoche,0000101001010
anochezca,0000101001011
ansia,0000101001100
ansiosamente,0000101001101
ansioso,0000101001110
antepasado,0000101001111
anterior,0000101010000
antiem,0000101010001
antiguo,0000101010010
antipático,0000101010011
antiverdura,0000101010100
antídoto,0000101010101
anular,0000101010110
anunciar,0000101010111
anunciarl,0000101011000
anuncio,0000101011001
apagado,0000101011010
apagar,0000101011011
apagarar,0000101011100
aparato,0000101011101
aparecer,0000101011110
aparecido,0000101011111
apariencia,0000101100000
apartado,0000101100001
apartar,0000101100010
apasionante,0000101100011
apelar,0000101100100
apellido,0000101100101
apenado,0000101100110
apenar,0000101100111
apenas,0000101101000
apetecer,0000101101001
apetito,0000101101010
apetitoso,0000101101011
apiadar,0000101101100
aplastar,0000101101101
aplaud,0000101101110
aplaudir,0000101101111
aplauso,0000101110000
aplazar,0000101110001
aplicado,0000101110010
